DATE,COLO808UR
1/1/1990,7.2
2/1/1990,7.2
3/1/1990,7.2
4/1/1990,7.1
5/1/1990,7.1
6/1/1990,7.1
7/1/1990,7
8/1/1990,7
9/1/1990,7
10/1/1990,7.1
11/1/1990,7.1
12/1/1990,7.2
1/1/1991,7.2
2/1/1991,7.1
3/1/1991,7.1
4/1/1991,6.9
5/1/1991,6.8
6/1/1991,6.6
7/1/1991,6.6
8/1/1991,6.5
9/1/1991,6.5
10/1/1991,6.6
11/1/1991,6.7
12/1/1991,6.8
1/1/1992,7
2/1/1992,7.1
3/1/1992,7.2
4/1/1992,7.2
5/1/1992,7.2
6/1/1992,7.2
7/1/1992,7.2
8/1/1992,7.1
9/1/1992,7.1
10/1/1992,7.1
11/1/1992,7.1
12/1/1992,7.1
1/1/1993,7.1
2/1/1993,7
3/1/1993,6.8
4/1/1993,6.7
5/1/1993,6.5
6/1/1993,6.3
7/1/1993,6.1
8/1/1993,6
9/1/1993,5.9
10/1/1993,5.8
11/1/1993,5.8
12/1/1993,5.7
1/1/1994,5.7
2/1/1994,5.6
3/1/1994,5.4
4/1/1994,5.2
5/1/1994,5
6/1/1994,4.9
7/1/1994,4.7
8/1/1994,4.6
9/1/1994,4.5
10/1/1994,4.4
11/1/1994,4.3
12/1/1994,4.2
1/1/1995,4.2
2/1/1995,4.3
3/1/1995,4.4
4/1/1995,4.4
5/1/1995,4.5
6/1/1995,4.5
7/1/1995,4.5
8/1/1995,4.5
9/1/1995,4.4
10/1/1995,4.4
11/1/1995,4.4
12/1/1995,4.4
1/1/1996,4.5
2/1/1996,4.6
3/1/1996,4.7
4/1/1996,4.8
5/1/1996,4.9
6/1/1996,4.9
7/1/1996,4.8
8/1/1996,4.8
9/1/1996,4.7
10/1/1996,4.5
11/1/1996,4.4
12/1/1996,4.3
1/1/1997,4.2
2/1/1997,4.1
3/1/1997,4
4/1/1997,3.9
5/1/1997,3.8
6/1/1997,3.8
7/1/1997,3.8
8/1/1997,3.7
9/1/1997,3.7
10/1/1997,3.7
11/1/1997,3.8
12/1/1997,3.9
1/1/1998,4
2/1/1998,4.1
3/1/1998,4.2
4/1/1998,4.3
5/1/1998,4.3
6/1/1998,4.3
7/1/1998,4.3
8/1/1998,4.3
9/1/1998,4.3
10/1/1998,4.2
11/1/1998,4.1
12/1/1998,3.9
1/1/1999,3.7
2/1/1999,3.6
3/1/1999,3.5
4/1/1999,3.5
5/1/1999,3.5
6/1/1999,3.5
7/1/1999,3.5
8/1/1999,3.5
9/1/1999,3.5
10/1/1999,3.5
11/1/1999,3.5
12/1/1999,3.5
1/1/2000,2.9
2/1/2000,2.9
3/1/2000,2.9
4/1/2000,2.9
5/1/2000,2.9
6/1/2000,3
7/1/2000,3
8/1/2000,3
9/1/2000,3
10/1/2000,2.9
11/1/2000,2.9
12/1/2000,2.9
1/1/2001,2.9
2/1/2001,3
3/1/2001,3.1
4/1/2001,3.3
5/1/2001,3.6
6/1/2001,3.9
7/1/2001,4.2
8/1/2001,4.6
9/1/2001,5
10/1/2001,5.3
11/1/2001,5.6
12/1/2001,5.7
1/1/2002,5.9
2/1/2002,5.9
3/1/2002,5.9
4/1/2002,5.9
5/1/2002,5.9
6/1/2002,5.9
7/1/2002,6
8/1/2002,6
9/1/2002,6.1
10/1/2002,6.1
11/1/2002,6.1
12/1/2002,6.1
1/1/2003,6.1
2/1/2003,6.1
3/1/2003,6.1
4/1/2003,6.1
5/1/2003,6.1
6/1/2003,6.2
7/1/2003,6.2
8/1/2003,6.1
9/1/2003,6.1
10/1/2003,6
11/1/2003,6
12/1/2003,5.9
1/1/2004,5.8
2/1/2004,5.8
3/1/2004,5.7
4/1/2004,5.7
5/1/2004,5.6
6/1/2004,5.6
7/1/2004,5.6
8/1/2004,5.6
9/1/2004,5.6
10/1/2004,5.6
11/1/2004,5.5
12/1/2004,5.5
1/1/2005,5.5
2/1/2005,5.5
3/1/2005,5.4
4/1/2005,5.4
5/1/2005,5.4
6/1/2005,5.3
7/1/2005,5.2
8/1/2005,5.2
9/1/2005,5.1
10/1/2005,5.1
11/1/2005,5
12/1/2005,4.9
1/1/2006,4.8
2/1/2006,4.7
3/1/2006,4.7
4/1/2006,4.7
5/1/2006,4.7
6/1/2006,4.7
7/1/2006,4.7
8/1/2006,4.7
9/1/2006,4.6
10/1/2006,4.5
11/1/2006,4.4
12/1/2006,4.2
1/1/2007,4.1
2/1/2007,4.1
3/1/2007,4
4/1/2007,4
5/1/2007,4
6/1/2007,4.1
7/1/2007,4.2
8/1/2007,4.3
9/1/2007,4.4
10/1/2007,4.5
11/1/2007,4.6
12/1/2007,4.7
1/1/2008,4.8
2/1/2008,4.9
3/1/2008,5.1
4/1/2008,5.2
5/1/2008,5.4
6/1/2008,5.5
7/1/2008,5.7
8/1/2008,5.9
9/1/2008,6.1
10/1/2008,6.3
11/1/2008,6.5
12/1/2008,6.7
1/1/2009,6.9
2/1/2009,7.2
3/1/2009,7.4
4/1/2009,7.5
5/1/2009,7.7
6/1/2009,7.8
7/1/2009,8
8/1/2009,8.1
9/1/2009,8.2
10/1/2009,8.3
11/1/2009,8.5
12/1/2009,8.7
1/1/2010,8.8
2/1/2010,9
3/1/2010,9.2
4/1/2010,9.3
5/1/2010,9.4
6/1/2010,9.4
7/1/2010,9.4
8/1/2010,9.4
9/1/2010,9.5
10/1/2010,9.5
11/1/2010,9.5
12/1/2010,9.5
1/1/2011,9.5
2/1/2011,9.4
3/1/2011,9.2
4/1/2011,9.1
5/1/2011,9
6/1/2011,9
7/1/2011,8.9
8/1/2011,9
9/1/2011,9
10/1/2011,9
11/1/2011,9.1
12/1/2011,9.1
1/1/2012,9.1
2/1/2012,9.2
3/1/2012,9.2
4/1/2012,9.1
5/1/2012,9.1
6/1/2012,9
7/1/2012,8.8
8/1/2012,8.7
9/1/2012,8.6
10/1/2012,8.5
11/1/2012,8.4
12/1/2012,8.4
1/1/2013,8.4
2/1/2013,8.3
3/1/2013,8.3
4/1/2013,8.2
5/1/2013,8.1
6/1/2013,8
7/1/2013,7.9
8/1/2013,7.7
9/1/2013,7.6
10/1/2013,7.4
11/1/2013,7.3
12/1/2013,7.2
1/1/2014,7.1
2/1/2014,6.9
3/1/2014,6.8
4/1/2014,6.5
5/1/2014,6.3
6/1/2014,6
7/1/2014,5.7
8/1/2014,5.5
9/1/2014,5.4
10/1/2014,5.3
11/1/2014,5.2
12/1/2014,5.2
1/1/2015,5.2
2/1/2015,5.1
3/1/2015,5.1
4/1/2015,4.9
5/1/2015,4.8
6/1/2015,4.6
7/1/2015,4.5
8/1/2015,4.4
9/1/2015,4.2
10/1/2015,4.2
11/1/2015,4.1
12/1/2015,4
1/1/2016,4
2/1/2016,4
3/1/2016,4
4/1/2016,4
5/1/2016,3.9
6/1/2016,3.9
7/1/2016,3.8
8/1/2016,3.7
9/1/2016,3.6
10/1/2016,3.5
11/1/2016,3.4
12/1/2016,3.3
1/1/2017,3.2
2/1/2017,3.1
3/1/2017,3
4/1/2017,3
5/1/2017,3.1
6/1/2017,3.2
7/1/2017,3.2
8/1/2017,3.3
9/1/2017,3.4
10/1/2017,3.4
11/1/2017,3.4
12/1/2017,3.4
1/1/2018,3.4
2/1/2018,3.5
3/1/2018,3.5
4/1/2018,3.6
5/1/2018,3.7
6/1/2018,3.8
7/1/2018,3.9
8/1/2018,4
9/1/2018,4
10/1/2018,4
11/1/2018,4
12/1/2018,3.9
1/1/2019,3.8
2/1/2019,3.6
3/1/2019,3.5
4/1/2019,3.4
5/1/2019,3.3
6/1/2019,3.3
7/1/2019,3.2
8/1/2019,3.2
9/1/2019,3.1
10/1/2019,3.1
11/1/2019,3
12/1/2019,3
1/1/2020,3
2/1/2020,2.9
3/1/2020,5.8
4/1/2020,12.6
5/1/2020,9.9
6/1/2020,10.3
7/1/2020,6.8
8/1/2020,6.3
